season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
spring,weekday,morning,16.30684816964583,17.23,23.22,11.24,291.565,326.09,257.04,58.8,59.1,58.5,53.06,53.11,53.01,1016.51,1016.59,1016.43,26.655,26.66,26.65,22.87,22.87,22.87,13.3,11.9,2,12.600000000000001,21.5
summer,weekend,afternoon,19.230126047527257,84.9,84.9,84.9,116.01,116.01,116.01,-15.699999999999998,-15.7,-15.7,39.79,40.0,39.57,1014.4250000000001,1016.33,1012.6,34.913333333333334,34.93,34.89,28.885,29.0,28.75,11.4,10.3,6,10.866666666666667,7.08
summer,weekday,night,15.189864119438127,13.3,13.3,13.3,55.58,55.58,55.58,161.7,161.7,161.7,33.53,33.53,33.53,1008.42,1008.42,1008.42,33.4,33.4,33.4,29.94,29.94,29.94,6.1,6.1,1,6.1,12.72
summer,weekday,night,12.124692977920878,1.89,1.89,1.89,329.92,329.92,329.92,190.7,190.7,190.7,51.77,51.77,51.77,1009.73,1009.73,1009.73,22.54,22.54,22.54,19.81,19.81,19.81,2.8,2.8,1,2.8,11.66
summer,weekend,night,6.959379162889732,16.106666666666666,29.82,1.91,199.36333333333332,273.16,76.01,42.63333333333333,47.0,35.5,28.436666666666667,28.83,27.69,1019.9133333333333,1021.18,1019.07,26.76,27.4,26.43,21.35666666666667,22.19,20.94,5.7,3.0,3,4.366666666666667,7.27
summer,weekend,night,6.386684610451653,31.885,38.6,25.17,255.92000000000002,259.51,252.33,50.35,55.5,45.2,30.02,30.02,30.02,1018.89,1019.14,1018.64,25.18,25.19,25.17,20.28,20.31,20.25,2.3,2.2,2,2.25,6.89
summer,weekday,night,12.8223947123815,34.04,34.04,34.04,73.66,73.66,73.66,35.7,35.7,35.7,36.61,36.61,36.61,1016.73,1016.73,1016.73,29.16,29.16,29.16,22.87,22.87,22.87,2.6,2.6,1,2.6,9.72
summer,weekday,night,11.94331134454157,20.009999999999998,29.28,0.81,200.4975,257.51,72.05,49.875,52.0,45.0,40.09,40.32,39.41,1015.7925,1016.94,1015.09,26.615,27.04,26.47,21.095,21.56,20.94,3.8,1.7,4,2.625,7.62
summer,weekend,night,13.240357560018646,14.1275,21.11,9.7,177.59,229.18,71.26,191.5,192.1,191.1,31.4425,31.56,31.36,1007.29,1008.86,1006.06,32.3,32.3,32.3,27.735,27.75,27.69,46.6,36.6,4,43.225,57.47
summer,weekend,afternoon,12.405957960576702,16.85,16.85,16.85,199.91,199.91,199.91,154.8,154.8,154.8,20.54,20.54,20.54,1001.83,1001.83,1001.83,39.03,39.03,39.03,34.38,34.38,34.38,7.6,7.6,1,7.6,23.63
