season,weekend,time_of_day,dew_point,DEW_POINT_MAX,DEW_POINT_MIN,LAT_MEAN,LAT_MAX,LAT_MIN,LON_MEAN,LON_MAX,LON_MIN,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,afternoon,6.915807957141942,6.91957583157277,6.912040082711113,45.62353,45.623555,45.623505,13.787336,13.788092,13.78658,26.105,27.43,24.78,101.19,128.31,74.07,32.6,35.7,29.5,38.71,38.72,38.7,1021.6600000000001,1021.74,1021.58,21.57,21.57,21.57,14.095,14.13,14.06,17.1,15.7,2,16.4,19.66
winter,weekday,evening,7.897118877800299,7.918771916604241,7.875465838996356,45.6235755,45.623598,45.623553,13.7872635,13.788105,13.786422,34.82,39.45,30.19,103.1,131.32,74.88,39.65,41.4,37.9,46.97,47.01,46.93,1022.3199999999999,1022.37,1022.27,19.520000000000003,19.53,19.51,11.44,11.44,11.44,18.2,15.5,2,16.85,16.57
winter,weekday,evening,7.068082338761301,7.068082338761301,7.068082338761301,45.623572,45.623572,45.623572,13.786488,13.786488,13.786488,28.19,28.19,28.19,130.21,130.21,130.21,45.3,45.3,45.3,46.86,46.86,46.86,1022.62,1022.62,1022.62,18.65,18.65,18.65,10.5,10.5,10.5,13.9,13.9,1,13.9,22.42
winter,weekday,evening,6.562521405589552,6.562521405589552,6.562521405589552,45.623572,45.623572,45.623572,13.78817,13.78817,13.78817,34.48,34.48,34.48,73.82,73.82,73.82,30.8,30.8,30.8,45.89,45.89,45.89,1022.13,1022.13,1022.13,18.43,18.43,18.43,10.0,10.0,10.0,8.5,8.5,1,8.5,24.63
winter,weekend,morning,7.809717400141901,7.809717400141901,7.809717400141901,45.623668,45.623668,45.623668,13.787992,13.787992,13.787992,32.47,32.47,32.47,74.68,74.68,74.68,66.1,66.1,66.1,46.46,46.46,46.46,1006.66,1006.66,1006.66,19.6,19.6,19.6,14.19,14.19,14.19,9.8,9.8,1,9.8,9.82
winter,weekend,morning,7.524401895174601,7.524401895174601,7.524401895174601,45.623433,45.623433,45.623433,13.786962,13.786962,13.786962,25.58,25.58,25.58,81.16,81.16,81.16,50.8,50.8,50.8,43.15,43.15,43.15,1006.0,1006.0,1006.0,20.48,20.48,20.48,14.81,14.81,14.81,14.7,14.7,1,14.7,10.18
spring,weekday,night,6.284441316375512,6.284441316375512,6.284441316375512,45.623408,45.623408,45.623408,13.78727,13.78727,13.78727,38.11,38.11,38.11,78.03,78.03,78.03,42.3,42.3,42.3,53.31,53.31,53.31,1020.16,1020.16,1020.16,15.76,15.76,15.76,11.31,11.31,11.31,17.5,17.5,1,17.5,24.14
spring,weekday,night,7.987491247432236,7.987491247432236,7.987491247432236,45.623492,45.623492,45.623492,13.787847,13.787847,13.787847,40.6,40.6,40.6,76.85,76.85,76.85,33.8,33.8,33.8,53.06,53.06,53.06,1020.5,1020.5,1020.5,17.67,17.67,17.67,11.12,11.12,11.12,20.7,20.7,1,20.7,17.41
spring,weekday,morning,9.029441020350403,9.029441020350403,9.029441020350403,45.623498,45.623498,45.623498,13.787483,13.787483,13.787483,37.41,37.41,37.41,78.34,78.34,78.34,21.4,21.4,21.4,47.64,47.64,47.64,1020.45,1020.45,1020.45,20.53,20.53,20.53,14.19,14.19,14.19,15.8,15.8,1,15.8,27.9
spring,weekday,morning,9.734325146168269,9.734325146168269,9.734325146168269,45.623578,45.623578,45.623578,13.786422,13.786422,13.786422,28.63,28.63,28.63,131.36,131.36,131.36,33.6,33.6,33.6,43.85,43.85,43.85,1020.52,1020.52,1020.52,22.66,22.66,22.66,15.94,15.94,15.94,14.6,14.6,1,14.6,38.38
