season,weekend,time_of_day,dew_point,GPS_KMH_MEAN,GPS_KMH_MAX,GPS_KMH_MIN,GPS_DIR_MEAN,GPS_DIR_MAX,GPS_DIR_MIN,GPS_ALT_MEAN,GPS_ALT_MAX,GPS_ALT_MIN,BM_H_MEAN,BM_H_MAX,BM_H_MIN,BM_P_MEAN,BM_P_MAX,BM_P_MIN,BM_T_MEAN,BM_T_MAX,BM_T_MIN,DS_T_MEAN,DS_T_MAX,DS_T_MIN,PM10_MAX,PM10_MIN,NUM_MEASUREMENTS,PM10_MEAN,PM10_ARPA
winter,weekday,afternoon,9.90543954720226,56.45,56.45,56.45,294.38,294.38,294.38,383.1,383.1,383.1,61.66,61.66,61.66,967.61,967.61,967.61,17.34,17.34,17.34,11.44,11.44,11.44,3.0,3.0,1,3.0,9.37
winter,weekday,afternoon,7.6904158319428255,51.1,51.1,51.1,113.48,113.48,113.48,389.6,389.6,389.6,63.9,63.9,63.9,968.91,968.91,968.91,14.44,14.44,14.44,10.06,10.06,10.06,7.5,7.5,1,7.5,7.84
winter,weekday,afternoon,7.693473622109289,51.67,51.67,51.67,293.6,293.6,293.6,361.3,361.3,361.3,55.3,55.3,55.3,969.13,969.13,969.13,16.7,16.7,16.7,10.5,10.5,10.5,4.3,4.3,1,4.3,6.67
winter,weekday,evening,7.438676585006491,54.08,54.08,54.08,113.39,113.39,113.39,380.3,380.3,380.3,57.85,57.85,57.85,970.26,970.26,970.26,15.72,15.72,15.72,10.06,10.06,10.06,13.7,13.7,1,13.7,7.97
winter,weekday,evening,7.5446019804519535,53.34,53.34,53.34,292.8,292.8,292.8,353.3,353.3,353.3,52.8,52.8,52.8,970.2,970.2,970.2,17.27,17.27,17.27,11.19,11.19,11.19,4.7,4.7,1,4.7,8.6
winter,weekday,evening,7.255335950797073,57.21,57.21,57.21,113.44,113.44,113.44,369.8,369.8,369.8,55.37,55.37,55.37,970.89,970.89,970.89,16.21,16.21,16.21,10.38,10.38,10.38,17.6,17.6,1,17.6,7.44
winter,weekday,evening,7.601719009801591,52.82,52.82,52.82,113.57,113.57,113.57,368.5,368.5,368.5,55.13,55.13,55.13,971.5,971.5,971.5,16.65,16.65,16.65,10.44,10.44,10.44,13.9,13.9,1,13.9,7.68
winter,weekday,night,7.317668462839629,58.36,58.36,58.36,113.92,113.92,113.92,363.5,363.5,363.5,60.63,60.63,60.63,973.16,973.16,973.16,14.86,14.86,14.86,11.75,11.75,11.75,14.8,14.8,1,14.8,28.36
winter,weekday,night,7.446489597265818,53.24,53.24,53.24,294.1,294.1,294.1,372.5,372.5,372.5,50.5,50.5,50.5,972.49,972.49,972.49,17.87,17.87,17.87,12.37,12.37,12.37,9.3,9.3,1,9.3,25.16
winter,weekday,morning,7.269310024691654,59.56,59.56,59.56,114.5,114.5,114.5,376.3,376.3,376.3,52.41,52.41,52.41,973.47,973.47,973.47,17.09,17.09,17.09,11.81,11.81,11.81,17.2,17.2,1,17.2,19.33
spring,weekday,morning,9.751587974582144,64.84,64.84,64.84,293.35,293.35,293.35,368.2,368.2,368.2,72.79,72.79,72.79,963.96,963.96,963.96,14.58,14.58,14.58,10.0,10.0,10.0,3.4,3.4,1,3.4,20.57
spring,weekday,afternoon,3.951184572285707,44.17,44.17,44.17,112.79,112.79,112.79,350.1,350.1,350.1,40.76,40.76,40.76,973.51,973.51,973.51,17.43,17.43,17.43,10.88,10.88,10.88,11.0,11.0,1,11.0,6.54
spring,weekday,afternoon,2.8897378554113176,47.56,47.56,47.56,293.12,293.12,293.12,367.9,367.9,367.9,38.06,38.06,38.06,972.9,972.9,972.9,17.33,17.33,17.33,12.25,12.25,12.25,4.4,4.4,1,4.4,5.26
